Group,REFID,Synonym,CF_CODE10,Standard_Table,Systematic Name,Common Term,Acronym,Term Description,DIM,UOM_MDC,UOM_UCUM,CF_UCODE10,Enum_Values,External_sites,Vendor_VMD,Vendor_Description
DS-GEN-REL_1.0,MDC_ATTR_EVENT_PHASE,,68481,"A.11.1.1 ",,,,"Specifies whether this message is the beginning, end or other state or state transition for the alert","","MDC_DIM_NOS","{unknown}",262144,,,"MDC_DEV_MDS {IHE PCD Infusion Pump Work Group }","Specifies whether this message is the beginning, end or other state or state transition for the alert {IHE PCD Infusion Pump Work Group }"
DS-IP DS-GEN,MDC_ATTR_EVT_COND,,68487,"A.11.1.1 ","","","","","",,"",,"MDC_EVT_PUMP_DELIV_START MDC_EVT_PUMP_DELIV_STOP MDC_EVT_PUMP_DELIV_COMP MDC_EVT_COMM_STATUS_CHANGE MDC_EVT_PUMP_PROG_CLEARED MDC_EVT_PUMP_AUTO_PROG_CLEARED MDC_EVT_PATIENT_CHANGE MDC_EVT_PATIENT_ID_CHANGE MDC_EVT_PUMP_VOL_COUNTERS_CLEARED MDC_EVT_DEVICE_TIME_CHANGED MDC_EVT_PATIENT_PARAMETER_CHANGE",,"Infusion Pump MDS {IHE PCD Infusion Pump Work Group }","Pump Event Condition {IHE PCD Infusion Pump Work Group }"
DS-IP DS-GEN,MDC_ATTR_EVT_SOURCE,,68488,"A.11.1.1 ","","","","","",,"",,,,"Infusion Pump MDS {IHE PCD Infusion Pump Work Group }","Event Condition Source {IHE PCD Infusion Pump Work Group }"
BODY,MDC_ATTR_PT_HEIGHT,,68060,,"","","","","L ","MDC_DIM_CENTI_M MDC_DIM_INCH","cm [in_i]",263441 263520,,,"MDC_DEV_PUMP_INFUS_MDS {BBraun_PL}","Patient Height {BBraun_PL}"
BODY,MDC_ATTR_PT_WEIGHT,,68063,,"","","","","M   ","MDC_DIM_KILO_G MDC_DIM_G MDC_DIM_LB MDC_DIM_OZ","kg g [lb_av] [oz_av]",263875 263872 263904 263936,,,"MDC_DEV_PUMP_INFUS_MDS {BBraun_PL} PHYSIO_SRC_ID_INCUB {Draeger}","Patient Weight {BBraun_PL} weight {Draeger}"
INFANT_WARMER INFANT_INCUBATOR INFANT_HYBRID_MICROENV,MDC_ATTR_PT_WEIGHT_LAST,,188792,"A.7.11.1","Mass | Actual | | Body, last taken","Last Taken Weight",,"Last Taken Weight","","MDC_DIM_G","g",263872,,,"MDC_DEV_INFANT_MICROENV_VMD
 {Nuvon}","Baby's Last Taken Weight {Nuvon}"
MDC_ATTR_SOURCE,MDC_ATTR_SOURCE_HANDLE_REF,,68167,,"","","","","",,"",,,,"  {IEEE}",""
MDC_ATTR_TIME,MDC_ATTR_TIME_PD_MSMT_ACTIVE,,68185,,"","","","","","MDC_DIM_SEC","s",264320,,,"  {IEEE}",""
GASMON_O2,MDC_AWAY_O2_DELTA,,151744,,"Concentration | Difference(PartialPressureInspiration, PartialPressureExpiration) | O2, Gas | Airway","Respir. O2 pressure difference","PI-EO2","Difference between inspiratory and expiratory partial pressures of oxygen in airway gas","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,,,""
RESP_RR,MDC_AWAY_RESP_RATE,,151570,"A.7.4.8","Rate | Airway | Breath | Breathing","Respiration rate","RR","Rate of breathing; method: direct airway flow measurement.","T-1","MDC_DIM_RESP_PER_MIN","/min 1/min {breath}/min {breaths}/min {resp}/min",264928,,,"PHYSIO_SRC_ID_AWRR {Philips}","Airway Respiration Rate {Philips}"
BLD_CHM_ART,MDC_BASE_EXCESS_BLD_ART,,160252,"A.7.5.1","Concentration | BaseExcess | ArterialBlood | BloodChemistry","Base Excess of Arterial Blood","BE","Base excess of arterial blood","NL-3 NL-3","MDC_DIM_MILLI_MOLE_PER_L MDC_DIM_MILLI_EQUIV_PER_L","mmol/L meq/L",266866 266994,,,"PHYSIO_SRC_ID_UNSPEC {Philips}","Base Excess of Blood {Philips}"
BLD_CHM,MDC_BASE_EXCESS_FLUID_EXTRACELLULAR,,160216,"A.7.5.1","Concentration | BaseExcess | ExtracellularFluid | BloodChemistry","Base Excess of Extracellular Fluid","BEecf","Base excess of extracellular fluid","NL-3","MDC_DIM_MILLI_MOLE_PER_L","mmol/L",266866,,,"MDC_DEV_ANALY_BLD_CHEM_MULTI_PARAM_VMD {GE}","Base Excess of Extracellular Fluid {GE}"
BLD_CHM_INR_PHD,MDC_BATCHCODE_COAG,,8417908,,,,,,"",,"",,,,"  {IEEE}",""
CVS_HEMO_PERF,MDC_BLD_PERF_INDEX,,150488,,"Index | PerMinute | Perfusion | Blood, CVS","Perfusion index","","Tissue perfusion computed as milliliters per minute of blood flow per gram of tissue","1","MDC_DIM_PERCENT","%",262688,,," {VIASYS}","Perfusion Index {VIASYS}"
CVS_HEMO_IBP,MDC_BLD_PULS_RATE_INV,,149522,,"Rate | Invasive | Pulse | Blood, CVS","Invasive pulse rate","PRI","Rate of blood pulse in an artery, measured invasively","T-1 T-1 T-1","MDC_DIM_PER_MIN MDC_DIM_BEAT_PER_MIN MDC_DIM_PULS_PER_MIN","/min 1/min {count}/min /min 1/min {beat}/min {beats}/min /min 1/min {pulse}/min {pulses}/min",264672 264864 264896,,,"PHYSIO_SRC_ID_ART {Draeger} MDC_DEV_METER_PRESS_BLD_VMD/MDC_DEV_METER_PRESS_BLD_CHAN {GE}","Arterial Pressure - Pulse Rate {Draeger} Arterial Pressure Heart Rate {GE}"
RESP_CALC_EST RESP_CALC,MDC_BLD_SHUNT_FRACTION,,152840,"A.7.4.8","Fraction | Cardiac output not exposed to ventilated alveoli relative to total cardiac output | | Blood, CVS","(Estimated) Blood Shunt Fraction","Qs/Qt","The (estimated) fraction of cardiac output that returns to the left heart without the benefit of exposure to ventilated alveoli.","1","MDC_DIM_PERCENT","%",262688,,,"MDC_DEV_CALC_PULM_EST_VMD {GE} MDC_DEV_CALC_PULM_VMD {GE}","Estimated Shunt Fraction {GE} Shunt Fraction {GE}"
BODY_FAT,MDC_BODY_FAT,,188748,"A.7.13.1","Ratio | Computation | Body fat, Body weight | Body","body fat",,"The individual's body fat in kilograms divided by the individual's weight in kilograms","1","MDC_DIM_PERCENT","%",262688,,,,""
BODY_WATER,MDC_BODY_WATER,,188764,"A.7.13.1","Ratio | Computation | Body water, Body weight | Body","body water",,"The individual's body water in kilograms divided by the individual's weight","1 1","MDC_DIM_DIMLESS MDC_DIM_PERCENT","{unitless} 1 %",262656 262688,,,,""
RESP_LUNG,MDC_CAPAC_VITAL,,151680,"A.7.4.8","Volume | | Lung, VitalCapacity | LungStructure","Vital capacity","VC","Difference in volume between maximum inspiration and maximum expiration","L3 ","MDC_DIM_MILLI_L MDC_DIM_L","mL L",263762 263744,,,"PHYSIO_SRC_ID_UNSPEC {Philips}   {Editorial-pss}","Vital Lung Capacity {Philips} "
BODY,MDC_CIRCUM_HEAD,,153856,,"Circumference |  | Head | Body, CNS","Circum head","","Circumference of the head","L ","MDC_DIM_CENTI_M MDC_DIM_INCH","cm [in_i]",263441 263520,,,"PHYSIO_SRC_ID_UNSPEC {Philips}  {Editorial-pss}","Head Circumference {Philips} "
RESP_RR_CO2,MDC_CO2_RESP_RATE,,151594,"A.7.4.8","Rate | CO2 | Breath | Breathing","Respiration rate","RR","Rate of breathing; method: carbon dioxide measurement","T-1","MDC_DIM_RESP_PER_MIN","/min 1/min {breath}/min {breaths}/min {resp}/min",264928,,,"PHYSIO_SRC_ID_MGM {Draeger} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {GE}","Respiratory Rate {Draeger} Respiration Rate - CO2 {GE}"
SKIN_TCUT_CO2,MDC_CO2_TCUT,,151756,,"","","","","LMT-2L-2 LMT-2L-2","MDC_DIM_KILO_PASCAL MDC_DIM_MMHG","kPa mm[Hg]",265987 266016,,,"PHYSIO_SRC_ID_TcGas {Philips} PHYSIO_SRC_ID_TCP {Draeger} MDC_DEV_CO2_TCUT_VMD {GE}","Transcutaneous Carbon Dioxide Partial Pressure {Philips} Transcutaneous CO2 {Draeger} Transcutaneous CO2 Pressure {GE} Transcutaneous Oxygen Pressure {GE}"
BLD_CHM_INR_PHD,MDC_COAG_CONTROL,,160276,"A.7.13.1","Control | Coagulation | Plasma | Blood Chemistry","Control calibration of INR",,"Control Solution of INR monitor"," ","MDC_DIM_INR","{INR}",273536,,,,""
GASMON_GAS_TRAN,MDC_COEF_GAS_TRAN,,152020,"A.7.4.8","Index | Ratio (FlowDifference, PressureDifference) | GasTransport | LungStructure","Gas transport coefficient","D","Coefficient relating partial pressures of gas between alveoli and pulmonary capillaries","",,"",,,,,""
DS-IP-SYR DS-IP-PCA DS-IP-LVP DS-IP DS-GEN,MDC_COMM_STATUS,,188772,"A.7.11.1","","","","","",,"",,"comm-status-offline comm-status-online",,"Infusion Pump MDS {IHE PCD Infusion Pump Work Group }","Communication status has changed on the device. {IHE PCD Infusion Pump Work Group }"
RESP_LUNG,MDC_COMPL_LUNG,,151688,"A.7.4.8","Compliance | | Alveoli | LungStructure","Compliance of respiratory system","C TH+L","Change of tidal volume per unit change of airway pressure","L4M-1T2 L4M-1T2 L4M-1T2","MDC_DIM_MILLI_L_PER_CM_H2O MDC_DIM_MILLI_L_PER_MBAR MDC_DIM_L_PER_BAR","mL/cm[H2O] mL/mbar L/bar",268050 273042 272992,,,"PHYSIO_SRC_ID_UNSPEC {Philips}   {Philips} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {GE}   {VIASYS}","Generic label Lung Compliance {Philips} Lung Compliance {Philips} Compliance {GE} Lung Compliance {VIASYS}"
RESP_LUNG,MDC_COMPL_LUNG_DYN,,151692,"A.7.4.8","Compliance | Dynamic | Alveoli, Pleura | LungStructure","Thoracic compliance","C TH","Change of tidal volume per unit change of transthoracic pressure","L4M-1T2 L4M-1T2 L4M-1T2","MDC_DIM_MILLI_L_PER_CM_H2O MDC_DIM_MILLI_L_PER_MBAR MDC_DIM_L_PER_BAR","mL/cm[H2O] mL/mbar L/bar",268050 273042 272992,,,"PHYSIO_SRC_ID_UNSPEC {Philips} PHYSIO_SRC_ID_CALC {Draeger} PHYSIO_SRC_ID_ETCO2 {Draeger} PHYSIO_SRC_ID_VENT {Draeger} MDC_DEV_CALC_PULM_VMD {GE} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {GE}   {VIASYS}","Dynamic Lung Compliance {Philips} Dynamic Lung Compliance {Draeger} Dynamic Compliance {GE} Compliance (Dynamic) {GE} Dynamic Compliance {VIASYS}"
GASMON_COMPL_AWAY,MDC_COMPL_LUNG_DYNAMIC,,152600,"A.7.4.8","Compliance | Dynamic, Least Squares | Alveoli | LungStructure","Dynamic compliance","Cdyn","Change of tidal volume per unit change of airway pressure, dynamically calculated using a least squares or other curve fitting algorithm where airway resistance and lung compliance are related by the “equation of motion” ∆P<sub>i</sub> = R<sub>dyn</sub><i> </i>V̇<sub>i</sub> + V<sub>i</sub>/C<sub>dyn</sub> + PEEP<sub>tot </sub>,","L4M-1T2 L4M-1T2 L4M-1T2","MDC_DIM_MILLI_L_PER_CM_H2O MDC_DIM_MILLI_L_PER_MBAR MDC_DIM_L_PER_BAR","mL/cm[H2O] mL/mbar L/bar",268050 273042 272992,,,,""
RESP_LUNG,MDC_COMPL_LUNG_STATIC,,151696,"A.7.4.8","Compliance | Static | Alveoli, Pleura | LungStructure","Lung compliance, static","C L","Change of tidal volume per unit change in esophageal pressure measured statically at expiration end","L4M-1T2 L4M-1T2 L4M-1T2","MDC_DIM_MILLI_L_PER_CM_H2O MDC_DIM_MILLI_L_PER_MBAR MDC_DIM_L_PER_BAR","mL/cm[H2O] mL/mbar L/bar",268050 273042 272992,,,"PHYSIO_SRC_ID_UNSPEC {Philips} PHYSIO_SRC_ID_CALC {Draeger} PHYSIO_SRC_ID_ETCO2 {Draeger} MDC_DEV_ANALY_AWAY_MULTI_PARAM_VMD {GE}   {VIASYS}","Static Lung Compliance {Philips} Static Lung Compliance {Draeger} Static Compliance {GE} Static Compliance {VIASYS}"
GASMON_AA,MDC_CONC_AWAY_AGENT,,152456,"A.7.4.8","Concentration | | Agent, Gas | Airway","Concentration airway agent","%Agent","Concentration of agent in airway gas","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_Agent {Philips}","generic Agent label {Philips}"
GASMON_AA,MDC_CONC_AWAY_AGENT_ET,,152460,"A.7.4.8","Concentration | EndTidal | Agent, Gas | Airway","Concentration airway agent end tidal",,"Concentration of agent in airway gas measured at the end of expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_Agent {Philips}","Generic End-Tidal Agent Concentration {Philips}"
GASMON_AA,MDC_CONC_AWAY_AGENT_INSP,,152464,"A.7.4.8","Concentration | Inspiration | Agent, Gas | Airway","Concentration airway agent inspiration",,"Concentration of agent in airway gas measured in inspiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC","PHYSIO_SRC_ID_Agent {Philips}","Generic Inspired Agent Concentration {Philips}"
GASMON_AR,MDC_CONC_AWAY_AR,,152992,"A.7.4.8","Concentration | PartialPressure | Ar, Gas | Airway","Concentration (or partial pressure) of argon in airway gas","%Ar, AR","Measured partial pressure of argon in airway gas","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASMON_AR,MDC_CONC_AWAY_AR_ET,,152996,"A.7.4.8","Concentration | PartialPressure, Expiration | Ar, Gas | Airway","End tidal argon concentration (or partial pressure) in airway gas",,"Partial pressure of argon in airway gas measured at the end of expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASMON_AR,MDC_CONC_AWAY_AR_EXP,,153000,"A.7.4.8","Concentration | PartialPressure, Expiration | Ar, Gas | Airway","Expired argon concentration (or partial pressure) in airway gas",,"Partial pressure of argon in airway gas measured during expiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
GASMON_AR,MDC_CONC_AWAY_AR_INSP,,153004,"A.7.4.8","Concentration | PartialPressure, Inspiration | Ar, Gas | Airway","Inspiratory argon concentration (or partial pressure) in airway gas",,"Partial pressure of argon in airway gas measured during inspiration","1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2","MDC_DIM_PERCENT MDC_DIM_VOL_PERCENT MDC_DIM_KILO_PASCAL MDC_DIM_MMHG MDC_DIM_MILLI_BAR","% %{vol} kPa mm[Hg] mbar",262688 268384 265987 266016 266098,,"MDC_GAS_MSMT_SITE_NOS MDC_GAS_MSMT_SITE_AWAY MDC_GAS_MSMT_SITE_YPI MDC_GAS_MSMT_SITE_ETT MDC_GAS_MSMT_SITE_RB MDC_GAS_MSMT_SITE_LB MDC_GAS_MSMT_SITE_PI MDC_GAS_MSMT_SITE_ETTC",,""
