LOINC_NUM,LOINC_LONG_COMMON_NAME,IEEE_CF_CODE10,IEEE_REFID,IEEE_DESCRIPTION,IEEE_DIM,IEEE_UOM_UCUM
20053-5,Atmospheric pressure,152832,MDC_PRESS_BAROMETRIC,Barometric (atmospheric) air pressure,LMT-2L-2,mm[Hg]
20077-4,Positive end expiratory pressure setting Ventilator,16929192,MDC_VENT_PRESS_AWAY_END_EXP_POS_SETTING,Positive end expiratory pressure applied to the airway by the ventilator during expiratory phase.,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
20112-9,Tidal volume setting Ventilator,16929196,MDC_VENT_VOL_TIDAL_SETTING,,L3 ,mL L
2019-8,Carbon dioxide [Partial pressure] in Arterial blood,159752,MDC_CONC_PCO2_ART,,LMT-2L-2 LMT-2L-2 NL-3,kPa mm[Hg] mmol/L
2021-4,Carbon dioxide [Partial pressure] in Venous blood,159800,MDC_CONC_PCO2_VEN,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
20562-5,Left ventricular Stroke volume,150404,MDC_VOL_BLD_STROKE,Volume of blood ejected per beat,L3 L3,mL mL/{beat}
20570-8,Hematocrit [Volume Fraction] of Blood,160132,MDC_CONC_HCT_GEN,,1 1,% %{pcv}
2075-0,Chloride [Moles/volume] in Serum or Plasma,160104,MDC_CONC_CHLOR_GEN,,NL-3 NL-3,mmol/L meq/L
2339-0,Glucose [Mass/volume] in Blood,160020,MDC_CONC_GLU_GEN,,ML-3,mg/dL
2339-0,Glucose [Mass/volume] in Blood,160365,MDC_CONC_GLU_UNDETERMINED_WHOLEBLOOD,Whole blood glucose concentration taken from undetermined sample source,ML-3,mg/dL  g/L
2345-7,Glucose [Mass/volume] in Serum or Plasma,160197,MDC_CONC_GLU_VENOUS_PLASMA,Plasma glucose concentration taken from venous,ML-3,mg/dL g/L
2345-7,Glucose [Mass/volume] in Serum or Plasma,160369,MDC_CONC_GLU_UNDETERMINED_PLASMA,Plasma glucose concentration taken from undetermined sample source,ML-3,mg/dL g/L
2703-7,Oxygen [Partial pressure] in Arterial blood,159756,MDC_CONC_PO2_ART,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
2705-2,Oxygen [Partial pressure] in Venous blood,159804,MDC_CONC_PO2_VEN,,LMT-2L-2 LMT-2L-2 L3L-3,kPa mm[Hg] mL/dL
2708-6,Oxygen saturation in Arterial blood,150324,MDC_SAT_O2_ART,,1,%
2711-0,Oxygen saturation in Venous blood,150332,MDC_SAT_O2_VEN,,1,%
2744-1,pH of Arterial blood,159748,MDC_CONC_PH_ART,,[pH],[pH]
2746-6,pH of Venous blood,159796,MDC_CONC_PH_VEN,,[pH],[pH]
29463-7,Body weight,68063,MDC_ATTR_PT_WEIGHT,,M   ,kg g [lb_av] [oz_av]
2947-0,Sodium [Moles/volume] in Blood,160012,MDC_CONC_NA_GEN,,NL-3 NL-3,mmol/L meq/L
2951-2,Sodium [Moles/volume] in Serum or Plasma,159960,MDC_CONC_NA_SERUM,,NL-3 NL-3,mmol/L meq/L
2955-3,Sodium [Moles/volume] in Urine,159852,MDC_CONC_NA_URINE,,NL-3 NL-3,mmol/L meq/L
30313-1,Hemoglobin [Mass/volume] in Arterial blood,159764,MDC_CONC_HB_ART,,ML-3,g/dL g/L g/cL
3137-7,Body height Measured,188740,MDC_LEN_BODY_ACTUAL,"The actual height of the patient, especially for neonates, babies, and children during long-term therapy", L,[in_i] cm
3140-1,Body surface area Derived from formula,188744,MDC_AREA_BODY_SURF_ACTUAL,"The actual body surface area of the patient, calculated from patient actual weight and patient actual length.",L2,m2
3141-9,Body weight Measured,188736,MDC_MASS_BODY_ACTUAL,"The measurement of the mass of patient, e.g., by a scale in bed, e.g., during therapy", M  ,[lb_av] kg g [oz_av]
3141-9,Body weight Measured,188792,MDC_ATTR_PT_WEIGHT_LAST,Last Taken Weight,,g
32016-8,Glucose [Mass/volume] in Capillary blood,160184,MDC_CONC_GLU_CAPILLARY_WHOLEBLOOD,Whole blood glucose concentration taken from capillary,ML-3,mg/dL g/L
32354-3,Hematocrit [Volume Fraction] of Arterial blood,160068,MDC_CONC_HCT_ART,,1,%
33022-5,Carbon dioxide [Partial pressure] in Capillary blood by Transcutaneous CO2 monitor,151756,MDC_CO2_TCUT,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
33437-5,Oxygen [Partial pressure] in Capillary blood by Transcutaneous O2 monitor,151760,MDC_O2_TCUT,,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
33438-3,Breath rate mechanical --on ventilator,151586,MDC_VENT_RESP_RATE,Rate of mechanical ventilation; method not specified,T-1,/min 1/min {breath}/min {breaths}/min {resp}/min
33452-4,Maximum expiratory gas flow Respiratory system airway,151769,MDC_FLOW_AWAY_EXP_MAX,Maximum expiratory gas flow,L3T-1 ,mL/min L/min
34581-9,Calcium.ionized [Moles/volume] in Arterial blood,159792,MDC_CONC_CA_ART,,NL-3 NL-3,mmol/L meq/L
35410-0,Continuous positive airway pressure Respiratory system,151796,MDC_PRESS_AWAY_CTS_POS,Continuous pressure in airway during spontaneous respiration,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
38199-6,Intrinsic PEEP Respiratory system,151808,MDC_PRESS_AWAY_END_EXP_POS_INTRINSIC,.The component of alveolar pressure in the lungs above extrinsic PEEP due to physiologic causes at the end of expiration.,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
39156-5,Body mass index (BMI) [Ratio],188752,MDC_RATIO_MASS_BODY_LEN_SQ,"The individual's body weight, in kilograms, divided by the square of height, in meters",ML-2,kg/m2
39480-9,Glucose [Moles/volume] in Venous blood,160192,MDC_CONC_GLU_VENOUS_WHOLEBLOOD,Whole blood glucose concentration taken from venous,NL-3  ,mmol/L
39481-7,Glucose [Moles/volume] in Arterial blood,160200,MDC_CONC_GLU_ARTERIAL_WHOLEBLOOD,Whole blood glucose concentration taken from arterial,NL-3  ,mmol/L
41651-1,Glucose [Mass/volume] in Arterial blood,160200,MDC_CONC_GLU_ARTERIAL_WHOLEBLOOD,Whole blood glucose concentration taken from arterial,ML-3,mg/dL g/L
41652-9,Glucose [Mass/volume] in Venous blood,160192,MDC_CONC_GLU_VENOUS_WHOLEBLOOD,Whole blood glucose concentration taken from venous,ML-3,mg/dL g/L
41982-0,Percentage of body fat Measured,188748,MDC_BODY_FAT,The individual's body fat in kilograms divided by the individual's weight in kilograms,1,%
4548-4,Hemoglobin A1c/Hemoglobin.total in Blood,160220,MDC_CONC_HBA1C,A1c or glycated hemoglobin concentration.,1 NN-1,% mmol/mol
50064-5,Ideal body weight,188796,MDC_MASS_BODY_EST_IBW,"Ideal body weight (IBW), an estimate based solely on patient height using the Devine Formula (1974):<br/><i>Male (in kg):  50.0 + 2.3 kg per inch over 5 feet</i><br/><i>Female (in kg):  45.5 + 2.3 kg per inch over 5 fee</i>t<b><br/></b>The Devine formula can be re-expressed using other units-of-measure.  Also called the Predicted Body Weight.",M   ,kg g [lb_av] [oz_av]
51596-5,Glucose [Moles/volume] in Capillary blood,160184,MDC_CONC_GLU_CAPILLARY_WHOLEBLOOD,Whole blood glucose concentration taken from capillary,NL-3  ,mmol/L
53138-4,Calcium.ionized [Moles/volume] adjusted to pH 7.4 in Arterial blood,160256,MDC_CONC_CA_PH_NORMALIZED_ART,"Ionized calcium in blood fluid, normalized to pH 7.4",NL-3,mmol/L
59274-1,Oxygen content in Arterial blood by calculation,159768,MDC_CONC_HB_O2_ART,,L3L-3,mL/dL
59407-7,Oxygen saturation in Blood Preductal by Pulse oximetry,160296,MDC_PULS_OXIM_SAT_O2_ART_PREDUCTAL,Preductal oxygen saturation measured at a site that receives blood flow from the aorta before the level of the ductus arteriosus (see Note 1).,1,%
59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,150456,MDC_PULS_OXIM_SAT_O2,,1,%
59418-4,Oxygen saturation in Blood Postductal by Pulse oximetry,160300,MDC_PULS_OXIM_SAT_O2_ART_POSTDUCTAL,Postductal oxygen saturation is measured at a site that receives blood flow from the aorta after the level of the ductus arteriosus (see Note 2).,1,%
59470-5,Calcium.ionized [Mass/volume] in Arterial blood,159792,MDC_CONC_CA_ART,,ML-3,mg/dL
60738-2,Intraluminal [Pressure] Esophagus,151820,MDC_PRESS_ESOPH,Pressure measured in the esophagus,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
60739-0,Expiration [Time] Respiratory system,152612,MDC_TIME_PD_EXP,Duration of an expiratory phase,T ,ms s
60740-8,Inspiration [Time] Respiratory system,152608,MDC_TIME_PD_INSP,Duration of an inspiratory phase,T ,ms s
60741-6,Desflurane target [VFr/PPres] Airway adaptor --at end expiration,16929300,MDC_CONC_AWAY_DESFL_ET_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60744-0,Gas delivery system inspiratory Desflurane setting [VFr/PPres],16929416,MDC_CONC_GASDLV_DESFL_INSP_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60746-5,Desflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration,152140,MDC_CONC_GASDLV_DESFL_EXP,Concentration of desflurane in airway gas measured during expiration in the system or circuit conducting gas from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60747-3,Desflurane [VFr/PPres] Gas delivery system.inspiratory limb --during inspiration,152200,MDC_CONC_GASDLV_DESFL_INSP,Concentration of desflurane in airway gas measured during inspiration in the system or circuit conducting gas to the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60748-1,Desflurane gas delivered during case [Volume] from Gas delivery system,152896,MDC_VOL_DELIV_DESFL_CASE,"Volume of desflurane gas delivered during a case, to a single patient during a single procedure.",L3,mL
60749-9,Target enflurane [VFr/PPres] Airway adaptor --at end expiration,16929304,MDC_CONC_AWAY_ENFL_ET_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60752-3,Gas delivery system inspiratory Enflurane setting [VFr/PPres],16929420,MDC_CONC_GASDLV_ENFL_INSP_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60754-9,Enflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration,152144,MDC_CONC_GASDLV_ENFL_EXP,Concentration of enflurane in airway gas measured during expiration in the system or circuit conducting gas from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60755-6,Enflurane gas delivered during case [Volume] from Gas delivery system,152912,MDC_VOL_DELIV_ENFL_CASE,"Volume of enflurane gas delivered during a case, to a single patient during a single procedure.",L3,mL
60756-4,Target halothane [VFr/PPres] Airway adaptor --at end expiration,16929308,MDC_CONC_AWAY_HALOTH_ET_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60759-8,Gas delivery system inspiratory Halothane setting [VFr/PPres],16929424,MDC_CONC_GASDLV_HALOTH_INSP_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60761-4,Halothane [VFr/PPres] Gas delivery system.expiratory limb --during expiration,152148,MDC_CONC_GASDLV_HALOTH_EXP,Concentration of halothane in airway gas measured during expiration in the system or circuit conducting gas from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60762-2,Halothane gas delivered during case [Volume] from Gas delivery system,152928,MDC_VOL_DELIV_HALOTH_CASE,"Volume of halothane gas delivered during a case, to a single patient during a single procedure.",L3,mL
60763-0,Target isoflurane [VFr/PPres] Airway adaptor --at end expiration,16929316,MDC_CONC_AWAY_ISOFL_ET_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60766-3,Gas delivery system inspiratory Isoflurane setting [VFr/PPres],16929432,MDC_CONC_GASDLV_ISOFL_INSP_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60768-9,Isoflurane [VFr/PPres] Gas delivery system.expiratory limb --during expiration,152156,MDC_CONC_GASDLV_ISOFL_EXP,Concentration of isoflurane in airway gas measured during expiration in the system or circuit conducting gas from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60769-7,Isoflurane gas delivered during case [Volume] from Gas delivery system,152944,MDC_VOL_DELIV_ISOFL_CASE,"Volume of isoflurane gas delivered during a case, to a single patient during a single procedure.",L3,mL
60775-4,Nitrous oxide gas delivered during case [Volume] from Gas delivery system,152960,MDC_VOL_DELIV_N2O_CASE,"Volume (gas) of nitrous oxide delivered during a case, to a single patient during a single procedure.",L3 ,mL L
60776-2,Target sevoflurane [VFr/PPres] Airway adaptor --at end expiration,16929312,MDC_CONC_AWAY_SEVOFL_ET_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60779-6,Gas delivery system inspiratory Sevoflurane setting [VFr/PPres],16929428,MDC_CONC_GASDLV_SEVOFL_INSP_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60781-2,Sevoflurane [VFr/PPres] Gas delivery system,152064,MDC_CONC_GASDLV_SEVOFL,Concentration of sevoflurane in airway gas in the system or circuit conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60782-0,Sevoflurane gas delivered during case [Volume] from Gas delivery system,152976,MDC_VOL_DELIV_SEVOFL_CASE,"Volume of sevoflurane gas delivered during a case, to a single patient during a single procedure.",L3,mL
60789-5,Carbon dioxide gas delivered during case [Volume] from Gas delivery system,153032,MDC_VOL_DELIV_CO2_CASE,"Volume (gas) of carbon dioxide delivered during a case, to a single patient during a single procedure.",L3 ,mL L
60790-3,Carbon dioxide gas delivered.total [Volume] in Reporting period from Gas delivery system,153036,MDC_VOL_DELIV_CO2_TOTAL,Total volume (gas) of carbon dioxide delivered (potentially across multiple cases),L3 ,mL L
60791-1,Gas flow Respiratory system airway --on ventilator,151940,MDC_VENT_FLOW,Airway flow measured at the ventilator,L3T-1 ,mL/min L/min
60792-9,Expiratory gas flow Respiratory system airway --on ventilator,151944,MDC_VENT_FLOW_EXP,Expiratory gas flow during mechanical ventilation,L3T-1 ,mL/min L/min
60793-7,Maximum expiratory gas flow Respiratory system airway --on ventilator,151945,MDC_VENT_FLOW_EXP_MAX,Maximum expiratory gas flow during mechanical ventilation,L3T-1 ,mL/min L/min
60794-5,Inspiratory gas flow Respiratory system airway --on ventilator,151948,MDC_VENT_FLOW_INSP,Inspiratory gas flow in airway during mechanical ventilation,L3T-1 ,mL/min L/min
60795-2,Inspiratory gas flow.max Respiratory system airway --on ventilator,151949,MDC_VENT_FLOW_INSP_MAX,Maximum inspiratory gas flow during mechanical ventilation,L3T-1 ,mL/min L/min
60796-0,Target oxygen [VFr/PPres] Airway adaptor --at end expiration,16929656,MDC_CONC_AWAY_O2_ET_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60799-4,Gas delivery system inspiratory Oxygen setting [VFr/PPres],16930360,MDC_CONC_GASDLV_O2_INSP_SETTING,,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60801-8,Trapped lung volume --at end expiration,151992,MDC_VENT_VOL_LUNG_TRAPD,Volume of gas remaining in lung at end of expiration,L3 ,mL L
60802-6,Dynamic plateau pressure,152776,MDC_PRESS_RESP_PLAT_DYNAMIC,The estimated airway pressure that would have occurred during an inspiratory-hold or during a flow pause in a pressure control inflation.,LMT-2L-2 LMT-2L-2 LMT-2L-2 LMT-2L-2,kPa mm[Hg] cm[H2O] mbar
60804-2,Minimum alveolar concentration (MAC) for anesthesia.XXX Anesthetic agent.XXX,152872,MDC_CONC_MAC,"Mean Aveolar Concentration, expressed as a percentage relative to the needed to prevent movement (motor response) in 50% of subjects in response to surgical (pain) stimulus.",1,%
60805-9,Desflurane [VFr/PPres] Airway adaptor --during inspiration,152168,MDC_CONC_AWAY_DESFL_INSP,Partial pressure of desflurane in airway gas measured during inspiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60807-5,Sevoflurane [VFr/PPres] Airway adaptor --during expiration,152124,MDC_CONC_AWAY_SEVOFL_EXP,Partial pressure of sevoflurane in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60808-3,Carbon dioxide [VFr/PPres] in Airway adaptor --at end expiration,151708,MDC_CONC_AWAY_CO2_ET,Partial pressure of carbon dioxide in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60809-1,Carbon dioxide [VFr/PPres] in Airway adaptor --during expiration,151712,MDC_CONC_AWAY_CO2_EXP,Partial pressure of carbon dioxide in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60812-5,Helium [VFr/PPres] Airway adaptor --at end expiration,153044,MDC_CONC_AWAY_HE_ET,Partial pressure of helium in airway gas measured at the end of expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60813-3,Helium [VFr/PPres] Airway adaptor --during expiration,153048,MDC_CONC_AWAY_HE_EXP,Partial pressure of helium in airway gas measured during expiration,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
60815-8,Minimum alveolar concentration (MAC) sum Anesthetic agent.XXX+Nitrous oxide,152864,MDC_CONC_MAC_SUM,Sum of the Minimum Alveolar Concentration for anesthetic gas and N2O,1,{unitless} 1
60816-6,Minimum alveolar concentration (MAC) sum corrected for age Anesthetic agent.XXX+Nitrous oxide,152868,MDC_CONC_MAC_SUM_AGE_CORR,Age corrected sum of the Minimum Alveolar Concentration for anesthetic gas and N2O,1,{unitless} 1
60817-4,Gastric-arterial pCO2 gap,160308,MDC_CONC_PCO2_GASTRIC_ART_DIFF,Difference (gap) between gastric mucosal (PgCO2) and arterial (PaCO2) partial pressures of carbon dioxide.,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60818-2,Gastric-end tidal pCO2 gap,160312,MDC_CONC_PCO2_GASTRIC_ET_DIFF,Difference (gap) between gastric mucosal (PgCO2) and end-tidal (EtCO2) partial pressures of carbon dioxide.,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60819-0,Gastric mucosal pCO2,160316,MDC_CONC_PCO2_GASTRIC_MUCOSAL,Gastric mucosal (PgCO2) partial pressure of carbon dioxide.,LMT-2L-2 LMT-2L-2,kPa mm[Hg]
60821-6,Apnea duration,151856,MDC_TIME_PD_APNEA,Duration of apnea - no flow measured,,s
60822-4,Estimated pulmonary Shunt fraction,152840,MDC_BLD_SHUNT_FRACTION,The (estimated) fraction of cardiac output that returns to the left heart without the benefit of exposure to ventilated alveoli.,1,%
60823-2,Oxygen consumption (VO2)/Body surface area [Volume Rate/Area],152820,MDC_FLOW_O2_CONSUMP_PER_BSA,"The volume of oxygen a patient inhales (consumes) per minute, normalized by patient body surface area (typ m<sup>2</sup>).",L3T-1L-2,mL/min/m2
60825-7,Carbon dioxide production (VCO2) in Respiratory system,151776,MDC_FLOW_CO2_PROD_RESP,"Rate of production of carbon dioxide, measured by expired carbon dioxide in airway per unit time (typ /min)",L3T-1 ,mL/min L/min
60826-5,Lung compliance,151688,MDC_COMPL_LUNG,Change of tidal volume per unit change of airway pressure,L4M-1T2 L4M-1T2 L4M-1T2,mL/cm[H2O] mL/mbar L/bar
60827-3,Dynamic lung compliance,151692,MDC_COMPL_LUNG_DYN,Change of tidal volume per unit change of transthoracic pressure,L4M-1T2 L4M-1T2 L4M-1T2,mL/cm[H2O] mL/mbar L/bar
60828-1,Compliance.static Lung,151696,MDC_COMPL_LUNG_STATIC,Change of tidal volume per unit change in esophageal pressure measured statically at expiration end,L4M-1T2 L4M-1T2 L4M-1T2,mL/cm[H2O] mL/mbar L/bar
60830-7,Finger temperature,188432,MDC_TEMP_FINGER,Finger temperature,Q Q,Cel [degF]
60832-3,Room temperature,188508,MDC_TEMP_ROOM,Room temperature,Q Q,Cel [degF]
60833-1,Toe temperature,188448,MDC_TEMP_TOE,Surface temperature measured at toe (reflects blood circulation),Q Q,Cel [degF]
60834-9,Blood temperature,188436,MDC_TEMP_BLD,Blood temperature,Q Q,Cel [degF]
60835-6,Arterial blood temperature,150352,MDC_TEMP_ART,,Q Q,Cel [degF]
60836-4,Esophageal temperature,150372,MDC_TEMP_ESOPH,,Q Q,Cel [degF]
60837-2,Injectate temperature,150376,MDC_TEMP_INJ,Temperature of an indicator injectate (cold indicator) used to calculate cardiac output,Q Q,Cel [degF]
60838-0,Nasopharyngeal temperature,150380,MDC_TEMP_NASOPH,,Q Q,Cel [degF]
60839-8,Skin temperature --in microenvironment,150388,MDC_TEMP_SKIN,,Q Q,Cel [degF]
60840-6,Base excess in Extracellular fluid by calculation,160216,MDC_BASE_EXCESS_FLUID_EXTRACELLULAR,Base excess of extracellular fluid,NL-3,mmol/L
60841-4,Oxygen content in Venous blood by calculation,159816,MDC_CONC_HB_O2_VEN,,L3L-3,mL/dL
60842-2,Oxygen consumption (VO2),150272,MDC_SAT_O2_CONSUMP,Oxygen consumption of the body,L3T-1,mL/min
60842-2,Oxygen consumption (VO2),152420,MDC_FLOW_O2_CONSUMP,The volume of oxygen a patient inhales (consumes) per minute.,L3T-1,mL/min
60843-0,Mean dominant power frequency on EEG,153980,MDC_EEG_FREQ_PWR_SPEC_CRTX_DOM_MEAN,"Mean dominant frequency of Power spectrum of EEG measured between two electrodes, Position 1 and Position 2 at head surface. See also EEG.",T-1,Hz
60844-8,Median power frequency on EEG,153984,MDC_EEG_FREQ_PWR_SPEC_CRTX_MEDIAN,"Median power frequency of power spectrum of EEG measured between two electrodes, Position 1 and Position 2 at head surface. See also EEG.",T-1,Hz
60845-5,Peak power frequency on EEG,153988,MDC_EEG_FREQ_PWR_SPEC_CRTX_PEAK,"Peak power frequency of power spectrum of EEG measured between two electrodes, Position 1 and Position 2 at head surface. See also EEG.",T-1,Hz
60846-3,Burst count Cerebral cortex Electroencephalogram (EEG),156241,MDC_EEG_PAROX_CRTX_BURST_CNT,"Epileptic or potentially epileptogenic activity identifiers, burst count",1,{unitless} 1 {count}
60847-1,Seizure count Cerebral cortex Electroencephalogram (EEG),154032,MDC_EEG_NUM_SEIZ,"Seizures, as determined out of the EEG, EOG, and EMG",1,{unitless} 1 {count}
60848-9,Alpha frequency relative power on EEG,154068,MDC_EEG_PWR_SPEC_ALPHA_REL,"Relative power of alpha band of power spectrum of EEG measured between two electrodes, Position 1 and Position 2 at head surface. A list attribute is used. See also EEG.",1,%
60849-7,Beta frequency relative power on EEG,154072,MDC_EEG_PWR_SPEC_BETA_REL,"Relative power of beta band of power spectrum of EEG measured between two electrodes, Position 1 and Position 2 at head surface. A list attribute is used. See also EEG.",1,%
60850-5,Delta frequency relative power on EEG,154076,MDC_EEG_PWR_SPEC_DELTA_REL,"Relative power of delta band of power spectrum of EEG measured between two electrodes, Position 1 and Position 2 at head surface. A list attribute is used. See also EEG.",1,%
60851-3,Theta frequency relative power on EEG,154080,MDC_EEG_PWR_SPEC_THETA_REL,"Relative power of theta band of power spectrum of EEG measured between two electrodes, Position 1 and Position 2 at head surface. A list attribute is used. See also EEG.",1,%
60852-1,Electrical potential Muscle on EMG,153640,MDC_EMG_ELEC_POTL_MUSCL,"Electromyographic signal strength, predominantly representing muscle activity above 70 Hz.",[Bel] ML2I-1T-3 ML2I-1T-3 [Bel],dB dB[10.nV] uV nV dB[10.nV]
60853-9,Desflurane [VFr/PPres] Gas delivery system,152052,MDC_CONC_GASDLV_DESFL,Concentration of desflurane in airway gas in the system or circuit conducting gas to and from the patient,1 L3L-3 LMT-2L-2 LMT-2L-2 LMT-2L-2,% %{vol} kPa mm[Hg] mbar
