_ENUM_GROUPS,TOKEN,REFID,NUM_VALUE,EPART,ECODE10,CF_ECODE10,ApplicationDescription,Tags
_BODY_SITE_SPO2," ","MDC_UPEXT_FINGER",,"7","1748","460500","Finger",
_BODY_SITE_EEG_EX," ","MDC_HEAD_NASION_MID",,"7","996","459748","Nz",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_POLAR_MID",,"7","1000","459752","Fpz",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_ANT_MID",,"7","1004","459756","AFz",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_MID",,"7","1008","459760","Fz",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_CENT_MID",,"7","1012","459764","FCz",
_BODY_SITE_EEG," ","MDC_HEAD_CENT_MID",,"7","1016","459768","Cz",
_BODY_SITE_EEG," ","MDC_HEAD_PARIET_MEDIA",,"7","1020","459772","CPz",
_BODY_SITE_EEG," ","MDC_HEAD_PARIET_MID",,"7","1024","459776","Pz",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_OCCIP_MID",,"7","1028","459780","POz",
_BODY_SITE_EEG," ","MDC_HEAD_OCCIP_MID",,"7","1032","459784","Oz",
_BODY_SITE_EEG_EX," ","MDC_HEAD_INION_MID",,"7","1036","459788","Iz",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_POLAR_L",,"7","1041","459793","Fp1",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_POLAR_R",,"7","1042","459794","Fp2",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_L_1",,"7","1049","459801","F1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_R_2",,"7","1054","459806","F2",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_L_3",,"7","1057","459809","F3",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_R_4",,"7","1062","459814","F4",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_L_5",,"7","1065","459817","F5",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_R_6",,"7","1070","459822","F6",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_L_7",,"7","1073","459825","F7",
_BODY_SITE_EEG," ","MDC_HEAD_FRONT_R_8",,"7","1078","459830","F8",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_L_9",,"7","1081","459833","F9",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_R_10",,"7","1086","459838","F10",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_CENT_L_1",,"7","1089","459841","FC1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_CENT_R_2",,"7","1094","459846","FC2",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_CENT_L_3",,"7","1097","459849","FC3",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_CENT_R_4",,"7","1102","459854","FC4",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_CENT_L_5",,"7","1105","459857","FC5",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_CENT_R_6",,"7","1110","459862","FC6",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_TEMPOR_L_7",,"7","1113","459865","FT7",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_TEMPOR_R_8",,"7","1118","459870","FT8",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_TEMPOR_L_9",,"7","1121","459873","FT9",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_TEMPOR_R_10",,"7","1126","459878","FT10",
_BODY_SITE_EEG_EX," ","MDC_HEAD_CENT_L_1",,"7","1129","459881","C1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_CENT_R_2",,"7","1134","459886","C2",
_BODY_SITE_EEG," ","MDC_HEAD_CENT_L_3",,"7","1137","459889","C3",
_BODY_SITE_EEG," ","MDC_HEAD_CENT_R_4",,"7","1142","459894","C4",
_BODY_SITE_EEG_EX," ","MDC_HEAD_CENT_L_5",,"7","1145","459897","C5",
_BODY_SITE_EEG_EX," ","MDC_HEAD_CENT_R_6",,"7","1150","459902","C6",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_CENT_L_1",,"7","1153","459905","CP1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_CENT_R_2",,"7","1158","459910","CP2",
_BODY_SITE_EEG," ","MDC_HEAD_PARIET_CENT_L_3",,"7","1161","459913","CP3",
_BODY_SITE_EEG," ","MDC_HEAD_PARIET_CENT_R_4",,"7","1166","459918","CP4",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_CENT_L_5",,"7","1169","459921","CP5",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_CENT_R_6",,"7","1174","459926","CP6",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_L_1",,"7","1177","459929","P1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_R_2",,"7","1182","459934","P2",
_BODY_SITE_EEG," ","MDC_HEAD_PARIET_L_3",,"7","1185","459937","P3",
_BODY_SITE_EEG," ","MDC_HEAD_PARIET_R_4",,"7","1190","459942","P4",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_L_5",,"7","1193","459945","P5",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_R_6",,"7","1198","459950","P6",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_L_9",,"7","1201","459953","P9",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_R_10",,"7","1206","459958","P10",
_BODY_SITE_EEG," ","MDC_HEAD_OCCIP_L",,"7","1209","459961","O1",
_BODY_SITE_EEG," ","MDC_HEAD_OCCIP_R",,"7","1214","459966","O2",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_ANT_L_3",,"7","1217","459969","AF3",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_ANT_R_4",,"7","1222","459974","AF4",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_ANT_L_7",,"7","1225","459977","AF7",
_BODY_SITE_EEG_EX," ","MDC_HEAD_FRONT_ANT_R_8",,"7","1230","459982","AF8",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_OCCIP_L_3",,"7","1233","459985","PO3",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_OCCIP_R_4",,"7","1238","459990","PO4",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_OCCIP_L_7",,"7","1241","459993","PO7",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PARIET_OCCIP_R_8",,"7","1246","459998","PO8",
_BODY_SITE_EEG," ","MDC_HEAD_TEMPOR_L_3",,"7","1249","460001","T3",
_BODY_SITE_EEG," ","MDC_HEAD_TEMPOR_R_4",,"7","1254","460006","T4",
_BODY_SITE_EEG," ","MDC_HEAD_TEMPOR_L_5",,"7","1257","460009","T5",
_BODY_SITE_EEG," ","MDC_HEAD_TEMPOR_R_6",,"7","1262","460014","T6",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_L_9",,"7","1265","460017","T9",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_R_10",,"7","1270","460022","T10",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_PARIET_L_7",,"7","1273","460025","TP7",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_PARIET_R_8",,"7","1278","460030","TP8",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_PARIET_L_9",,"7","1281","460033","TP9",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_PARIET_R_10",,"7","1286","460038","TP10",
_BODY_SITE_SPO2," ","MDC_HEAD_EAR_L",,"7","1289","460041","A1",
_BODY_SITE_SPO2," ","MDC_HEAD_EAR_R",,"7","1290","460042","A2",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_ANT_L",,"7","1297","460049","T1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_TEMPOR_ANT_R",,"7","1308","460060","T2",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PHARYNGEAL_L",,"7","1305","460057","Pg1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_PHARYNGEAL_R",,"7","1306","460058","Pg2",
_BODY_SITE_EEG_EX," ","MDC_HEAD_SPHENOIDAL_L",,"7","1313","460065","Sp1",
_BODY_SITE_EEG_EX," ","MDC_HEAD_SPHENOIDAL_R",,"7","1314","460066","Sp2",
_BODY_SITE_EEG," ","MDC_HEAD_CUSTOM_1",,"7","1881","460633","X1",
_BODY_SITE_EEG," ","MDC_HEAD_CUSTOM_2",,"7","1882","460634","X2",
_BODY_SITE_EEG," ","MDC_HEAD_CUSTOM_3",,"7","1883","460635","X3",
_BODY_SITE_EEG," ","MDC_HEAD_CUSTOM_4",,"7","1884","460636","X4",
_BODY_SITE_EEG," ","MDC_HEAD_CUSTOM_5",,"7","1885","460637","X5",
_BODY_SITE_EEG," ","MDC_HEAD_CUSTOM_6",,"7","1886","460638","X6",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_OCCIPITAL_L",,"7","1845","460597","LO",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_OCCIPITAL_R",,"7","1846","460598","RO",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_PARIETAL_L",,"7","1849","460601","LP",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_PARIETAL_R",,"7","1850","460602","RP",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_TEMPORAL_L",,"7","1853","460605","LT",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_TEMPORAL_R",,"7","1854","460606","RT",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_FRONTAL_L",,"7","1857","460609","LF",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_FRONTAL_R",,"7","1858","460610","RF",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_FRONTAL_POLAR_L",,"7","1861","460613","LFp",
_BODY_SITE_EEG," ","MDC_HEAD_REGIONAL_FRONTAL_POLAR_R",,"7","1862","460614","RFp",
_BODY_SITE_EEG," ","MDC_NERV_SPIN_CERVIC_5",,"7","1864","460616","C5S",
_MDC_BREATH_PHASE," INSP_PHASE","MDCX_EVT_BREATH_PHASE_INSP ",,,,,"",
_MDC_BREATH_PHASE," INSP_PAUSE_PHASE","MDCX_EVT_BREATH_PHASE_INSP_PAUSE ",,,,,"",
_MDC_BREATH_PHASE," EXP_PHASE","MDCX_EVT_BREATH_PHASE_EXH ",,,,,"",
_MDC_BREATH_PHASE," EXP_PAUSE_PHASE","MDCX_EVT_BREATH_PHASE_EXH_PAUSE ",,,,,"",
_MDC_VENT_BREATH_TYPE," ALL BREATHS","MDCX_VENT_BREATH_TYPE_NOS",,,,,"",
_MDC_VENT_BREATH_TYPE," SPONTANEOUS_BREATH","MDCX_VENT_BREATH_TYPE_SPONTANEOUS",,,,,"",
_MDC_VENT_BREATH_TYPE," MANDATORY_BREATH","MDCX_VENT_BREATH_TYPE_MANDATORY",,,,,"",
_MDC_VENT_BREATH_TYPE," SPECIAL_BREATH","MDCX_VENT_BREATH_TYPE_EXCEPTION",,,,,"e.g., ""sigh"", auto-zero pressure transducer, PRVC ""test breath""",
_MDC_WAVE_SHAPE," SQUARE","MDCX_WAVE_SHAPE_SQUARE",,,,,"",
_MDC_WAVE_SHAPE," DECELERATING","MDCX_WAVE_SHAPE_DECELERATING",,,,,"",
_MDC_SIGNAL_QUALITY," GREEN","MDCX_SIG_QUALITY_GREEN",,,,,"Perhaps even more generic:  MDCX_QUALITY_LEVEL_; e.g., for QoS levels",
_MDC_SIGNAL_QUALITY," YELLOW","MDCX_SIG_QUALITY_YELLOW",,,,,"",
_MDC_SIGNAL_QUALITY," RED","MDCX_SIG_QUALITY_RED",,,,,"",
_MDC_ILV_MODE," Off","MDCX_ILV_OFF",,,,,"Or should we use Metric-Status?",
_MDC_ILV_MODE," Master","MDCX_ILV_MASTER",,,,,"",
_MDC_ILV_MODE," Slave","MDCX_ILV_SLAVE",,,,,"",
_MDC_NEB_SYNC," Continuous","MDCX_NEB_SYNC_CONTINUOUS",,,,,"",
_MDC_NEB_SYNC," Insp Only","MDCX_NEB_SYNC_INSP_ONLY",,,,,"",
_MDC_SPO2_ALGO_MODE," Maximum","MDCX_SPO2_ALGO_MODE_MAX",,,,,"Too vendor specific OR should we have a general bag for these enumerations?",
_MDC_SPO2_ALGO_MODE," Normal","MDCX_SPO2_ALGO_MODE_NORM",,,,,"",
_MDC_SPO2_ALGO_MODE," APOD","MDCX_SPO2_ALGO_MODE_APOD",,,,,"""Adaptive Probe Off Technology""",
_MDC_PANEL_LOCK_DIFFICULTY," Easy","MDCX_DIFFICULTY_EASY",,,,,"",
_MDC_PANEL_LOCK_DIFFICULTY," Hard","MDCX_DIFFICULTY_HARD",,,,,"",
_GAS_MEAS_SITE," ","MDC_VENT_GAS_MSMT_SITE_UNKNOWN",,,,,"Fresh Gas",
_GAS_MEAS_SITE," ","MDC_VENT_GAS_MSMT_SITE_FRESHGAS",,,,,"Fresh Gas",
_GAS_MEAS_SITE," ","MDC_VENT_GAS_MSMT_SITE_EXHAUST",,,,,"Exhaust",
_GAS_MEAS_SITE," ","MDC_VENT_GAS_MSMT_SITE_INSP",,,,,"Inspiratory Limb",
_GAS_MEAS_SITE," ","MDC_VENT_GAS_MSMT_SITE_EXP",,,,,"Expiratory Limb",
_GAS_MEAS_SITE," ","MDC_VENT_GAS_MSMT_SITE_YPIECE",,,,,"Y-Piece",
_GAS_MEAS_SITE," ","MDC_VENT_GAS_MSMT_SITE_ENDOTRCH",,,,,"Endotracheal",
," OPEN",,,,,,,
," CLOSED",,,,,,,
," COMBINATION",,,,,,,
," RADIANT",,,,,,,
," CONVECTIVE",,,,,,,
," NONE",,,,,,,
," PATIENT",,,,,,,
," MANUAL",,,,,,,
," BED_OPEN",,,,,,,
," BED_PARTIALLY_OPEN",,,,,,,
," BED_CLOSED",,,,,,,
," AIR_CURTAIN_OFF",,,,,,,
," AIR_CURTAIN_ON",,,,,,,
," AIR_CURTAIN_USER_DISABLED",,,,,,,
," FAN_SPEED_LOW",,,,,,,
," FAN_SPEED_HIGH",,,,,,,
_MDC_COMM_STATUS," comm-status-offline",,,,,,"","ds-ip-rel_2.0"
_MDC_COMM_STATUS," comm-status-online",,,,,,"","ds-ip-rel_2.0"
_MDC_PCA_DOSE_TYPE," pca-dose-type-clinician",,,,,,"","IP_NA_CAT_15"
_MDC_PCA_DOSE_TYPE," pca-dose-type-loading",,,,,,"","IP_NA_CAT_15"
_MDC_PCA_DOSE_TYPE," pca-dose-type-patient",,,,,,"","IP_NA_CAT_15"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PUMP_DELIV_START",,"3","680","197288","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PUMP_DELIV_STOP",,"3","682","197290","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PUMP_DELIV_COMP",,"3","684","197292","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_COMM_STATUS_CHANGE",,"3","686","197294","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PUMP_PROG_CLEARED",,"3","688","197296","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PUMP_AUTO_PROG_CLEARED",,"3","690","197298","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PATIENT_CHANGE",,"3","692","197300","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PATIENT_ID_CHANGE",,"3","694","197302","","ds-ip-rel_2.0"
," ","MDC_EVT_PATIENT_WEIGHT_CHANGE",,"3","696","197304","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_PUMP_VOL_COUNTERS_CLEARED",,"3","698","197306","","ds-ip-rel_2.0"
_INFUSION_PUMP_EVENT," ","MDC_EVT_DEVICE_TIME_CHANGED",,"3","700","197308","","ds-ip-rel_2.0"
_VENT_MODE," ","MDCX_VENT_MODE_MANUAL",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_ACGO",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_MANUAL_PLUS_ALM_OFF",,,,,"",
_VENT_MODE," ","MDCX_MANUAL_PLUS_BYPASS",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_MANUAL_PLUS_MONITOR",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_PCV",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_PS",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_SIMVVC",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_SIMVVC_PLUS_PS",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_PCV_PLUS_VG",,,,,"",
_VENT_MODE," ","MDCX_VENT_MODE_AVNF",,,,,"",
_LOC_SCORE," ENUM_VALUE_TOKEN","MDCX_LOC_ALERT",,,,,"Alert",
_LOC_SCORE," ENUM_VALUE_TOKEN","MDCX_LOC_Voice",,,,,"Patient can speak",
_LOC_SCORE," ENUM_VALUE_TOKEN","MDCX_LOC_NCONF",,,,,"New confusion",
_LOC_SCORE," ENUM_VALUE_TOKEN","MDCX_LOC_PAIN",,,,,"Patient responds to pain stimulus",
_LOC_SCORE," ENUM_VALUE_TOKEN","MDCX_LOC_UNRESP",,,,,"Patient unresponsive",
," ENUM_VALUE_TOKEN","MDCX_ENUM_YES",,,,,"Yes","ds-ip-rel_2.0"
," ENUM_VALUE_TOKEN","MDCX_VALUE_YES",,,,,"Yes",
_MDC_PUMP_MODE," pump-mode-clinician-dose",," 17",,,,"",""
_MDC_PUMP_MODE," pump-mode-kvo",," 18",,,,"",""
_MDC_PUMP_MODE," pump-mode-flushing",," 19",,,,"",""
